weekday,hr,current


Sunday,17,182
Sunday,18,88
Sunday,19,92
Sunday,20,120
Sunday,21,76
Sunday,22,0
Sunday,23,0
Monday,00,0
Monday,01,0
Monday,02,0
Monday,03,0
Monday,04,0
Monday,05,0
Monday,06,39
Monday,11,132
Monday,12,99
Monday,13,65
Monday,14,78
Monday,15,178
Monday,16,72
Monday,17,74
Monday,18,97
Monday,19,92
Monday,20,14
Monday,21,35
Monday,22,0
Tuesday,10,11
Tuesday,11,95
Tuesday,12,77
Tuesday,13,85
Tuesday,14,145
Tuesday,15,83
Tuesday,16,85
Tuesday,17,50
Tuesday,18,85
Tuesday,19,114
Tuesday,20,118
Tuesday,21,0
Tuesday,22,0
Wednesday,06,23
Wednesday,07,55
Wednesday,08,114
Wednesday,10,0
Wednesday,11,94
Wednesday,12,70
Wednesday,13,55
Wednesday,14,84
Wednesday,15,156
Wednesday,16,72
Wednesday,17,98
Wednesday,18,74
Wednesday,19,128
Wednesday,20,77
Wednesday,21,28
Wednesday,22,0
Thursday,06,25
Thursday,07,56
Thursday,08,117
Thursday,10,0
Thursday,11,108
Thursday,12,77
Thursday,13,54
Thursday,14,77
Thursday,15,80
Thursday,16,80
Thursday,17,45
Thursday,18,25
Thursday,19,120
Thursday,20,93
